p;n;connectedGraphsPercentatge
0.000000;100;1.000000
0.010000;100;0.998000
0.020000;100;0.994000
0.030000;100;0.995000
0.040000;100;0.990000
0.050000;100;0.984000
0.060000;100;0.988000
0.070000;100;0.976000
0.080000;100;0.972000
0.090000;100;0.971000
0.100000;100;0.976000
0.110000;100;0.957000
0.120000;100;0.950000
0.130000;100;0.931000
0.140000;100;0.941000
0.150000;100;0.944000
0.160000;100;0.912000
0.170000;100;0.913000
0.180000;100;0.916000
0.190000;100;0.893000
0.200000;100;0.898000
0.210000;100;0.865000
0.220000;100;0.862000
0.230000;100;0.871000
0.240000;100;0.870000
0.250000;100;0.843000
0.260000;100;0.821000
0.270000;100;0.819000
0.280000;100;0.802000
0.290000;100;0.779000
0.300000;100;0.787000
0.310000;100;0.754000
0.320000;100;0.753000
0.330000;100;0.727000
0.340000;100;0.723000
0.350000;100;0.705000
0.360000;100;0.696000
0.370000;100;0.651000
0.380000;100;0.581000
0.390000;100;0.601000
0.400000;100;0.547000
0.410000;100;0.553000
0.420000;100;0.510000
0.430000;100;0.537000
0.440000;100;0.509000
0.450000;100;0.459000
0.460000;100;0.465000
0.470000;100;0.421000
0.480000;100;0.387000
0.490000;100;0.354000
0.500000;100;0.308000
0.510000;100;0.265000
0.520000;100;0.261000
0.530000;100;0.227000
0.540000;100;0.181000
0.550000;100;0.164000
0.560000;100;0.162000
0.570000;100;0.126000
0.580000;100;0.132000
0.590000;100;0.099000
0.600000;100;0.084000
0.610000;100;0.045000
0.620000;100;0.034000
0.630000;100;0.029000
0.640000;100;0.019000
0.650000;100;0.013000
0.660000;100;0.011000
0.670000;100;0.007000
0.680000;100;0.007000
0.690000;100;0.003000
0.700000;100;0.003000
0.710000;100;0.001000
0.720000;100;0.000000
0.730000;100;0.000000
0.740000;100;0.000000
0.750000;100;0.000000
0.760000;100;0.000000
0.770000;100;0.000000
0.780000;100;0.000000
0.790000;100;0.000000
0.800000;100;0.000000
0.810000;100;0.000000
0.820000;100;0.000000
0.830000;100;0.000000
0.840000;100;0.000000
0.850000;100;0.000000
0.860000;100;0.000000
0.870000;100;0.000000
0.880000;100;0.000000
0.890000;100;0.000000
0.900000;100;0.000000
0.910000;100;0.000000
0.920000;100;0.000000
0.930000;100;0.000000
0.940000;100;0.000000
0.950000;100;0.000000
0.960000;100;0.000000
0.970000;100;0.000000
0.980000;100;0.000000
0.990000;100;0.000000
1.000000;100;0.000000
0.000000;200;1.000000
0.010000;200;1.000000
0.020000;200;1.000000
0.030000;200;1.000000
0.040000;200;1.000000
0.050000;200;0.998000
0.060000;200;1.000000
0.070000;200;0.999000
0.080000;200;0.999000
0.090000;200;0.999000
0.100000;200;1.000000
0.110000;200;0.999000
0.120000;200;0.995000
0.130000;200;0.998000
0.140000;200;1.000000
0.150000;200;0.997000
0.160000;200;0.997000
0.170000;200;0.997000
0.180000;200;0.996000
